r,HOCOM_BC11A_HUMAN.H11MO.0.A,HOCOM_COE1_HUMAN.H11MO.0.A,HOCOM_ERG_HUMAN.H11MO.0.A,HOCOM_ETV5_HUMAN.H11MO.0.C,HOCOM_FLI1_HUMAN.H11MO.0.A,HOCOM_GATA1_HUMAN.H11MO.0.A,HOCOM_GATA2_HUMAN.H11MO.0.A,HOCOM_GATA3_HUMAN.H11MO.0.A,HOCOM_IRF1_HUMAN.H11MO.0.A,HOCOM_IRF3_HUMAN.H11MO.0.B,HOCOM_IRF4_HUMAN.H11MO.0.A,HOCOM_IRF8_HUMAN.H11MO.0.B,HOCOM_KLF15_HUMAN.H11MO.0.A,HOCOM_MAZ_HUMAN.H11MO.0.A,HOCOM_PRDM6_HUMAN.H11MO.0.C,HOCOM_SPI1_HUMAN.H11MO.0.A,HOCOM_STAT1_HUMAN.H11MO.1.A,HOCOM_TAL1_HUMAN.H11MO.0.A,HOCOM_ZBT17_HUMAN.H11MO.0.A,HOCOM_ZN341_HUMAN.H11MO.0.C,HOCOM_ZN467_HUMAN.H11MO.0.C,HOCOM_ZN770_HUMAN.H11MO.0.C,JASPA_MA0050.2_IRF1,JASPA_MA0528.1_ZNF263,Tissue
chr10:101426817-101427598,,,,,,,,,,,,,,,4.166852888087215,,,,,,,,,,CMP
chr10:101434488-101434914,4.265200170411154,,,,,,,,,,4.798602875679547,4.628932137728264,,,,,,,,,,,,,GMP
chr10:101468323-101468901,,,,,,,,,,,,,,,,,,,,4.1791420105603,,,,,HSC
chr10:101526058-101526485,4.332547047110047,4.297569463554475,,,,,,,,,,,,,,,,,,,,4.373659632624958,,,NKcell
chr10:101588124-101588708,,,,,,,,,,,5.043831569524637,4.88941028970075,,,,,,,,,,,4.309803919971486,,NKcell
chr10:101744023-101744629,,,,,,,,,,,,,,,,,,,,,,4.263603497723357,,,Bcell
chr10:101759193-101759400,,,,,,,,,4.139063379299906,,4.056011124926228,4.140861702705468,,,,,4.126679398184601,,,,,,4.159266765388193,,Bcell
chr10:101773843-101774482,,,,,,,,,,,,,,,,,,,,,,,,,Bcell
chr10:10185313-10185676,,,,4.092588639225414,,,,,,,,,,,,,,,,,,,,,LMPP
chr10:101888881-101889697,,,4.18111458540599,4.014124642691606,,4.826813731587727,4.563837352959244,,,,,,,,,,,4.774690718274137,,,,,,,MEP
chr10:101917828-101918145,,,,,4.1432711096171175,,,,,,,,,4.539102157243452,,,,,,,,,,4.481486060122112,Bcell
chr10:101964106-101964613,,,4.663540266151472,,,,,,,,,,,,,,,,,,,,,,CD4Tcell
chr10:102118549-102119461,,,,,,,,,,,,,,,,,,,,,,,,,MEP
chr10:102137645-102137916,,,,,,,,,,,,,,,,,,,,,,11.607303046740336,,,NKcell
chr10:102270434-102271280,,,,,,,,,,,,,,,,,,,,,,,,,CD8Tcell
chr10:10255264-10255601,,,,,,,,,,,,,,,,,,,,,,,,,Bcell
chr10:102646610-102647074,4.288192770958808,,,,4.454692883534176,,,,,,,,,,,5.173925197299173,4.543633966870957,,,,,,,,CLP
chr10:102703690-102704074,,,,,,,,,,,,,,,4.099086932262331,,,,,,,7.5638373529592435,,,CD4Tcell
chr10:102814087-102814667,,4.001304841688344,,,,,,,,,,,,,4.018634490921456,,,,,,,,,,MPP
chr10:102823330-102823852,,,,,,,,,,,,,,,,,,,,,,,,,CLP
chr10:103172944-103173292,,,,,4.2020403562628035,,,,,4.2564902352715706,,,,,,,,,5.082494490447453,,,,,,CLP
chr10:103201354-103202320,,,,,,,,,,,,,,,,,,,,,,,,,Ery
chr10:103210063-103210425,,,4.059981844992337,,,4.0,4.199970640755867,,,,,,,,,,,4.0594835150674315,,4.2564902352715706,,,,,Ery
chr10:103295638-103296328,,,,,,,,,,,4.3788237182249645,4.35261702988538,4.195860567664649,,,,,,,4.844663962534939,,,,,MEP
chr10:103305711-103305971,,,,,,4.563837352959244,4.287350298372789,,,,,,,,,,,4.8181564120552265,,,,,,,Ery
chr10:103312238-103312557,,,,,,,,,,,,,,,,,,,,,,,,,Ery
chr10:103335458-103336151,,,,,,4.3625102704874905,4.7544873321858505,,,,,,,,,,,4.2898826348881824,,,,,,,Ery
chr10:103336313-103336515,,,,,,,,,,,,,,,,,,,,,,5.377785977033705,,,Ery
chr10:103363741-103363981,,,,,,,,,,,,,,,,4.88941028970075,,,,4.221125527997262,,9.866461091629782,,,Ery
chr10:103574549-103574868,,,,,,,,,,,,,,,,,,,,,,,,,Bcell
chr10:103661097-103661559,,,,,,,,,,,,,,,,,,,,,,,,,Bcell
chr10:103663575-103664181,,,,,,,,,,,,,,,,,,,,,,,,,CLP
chr10:103728668-103729318,,,,,,,,,,,,,,,,,,,,,,,,,Bcell
chr10:103761204-103761557,,,,,4.140261433802853,,,,,,,,,,6.521433504406158,,,,,,,,,,Bcell
chr10:103762231-103762578,4.542118103266008,,,,,,,,5.1797985405143585,,6.129011186239425,7.116906641424309,,,,,6.356547323513813,,,,4.1029229967905785,4.962573502059376,,,Bcell
chr10:103766751-103767129,,,,,,,,,,,,,,,6.987162775294827,,,,4.605548319173784,,,,,,Ery
chr10:103843119-103843641,,,,,,4.016373712875464,,,,,,,,,,,,4.0851281824599495,4.460923901207224,,,9.337242168318426,,,MEP
chr10:103872028-103872508,,,,,,,,,,,,,,,,,4.080921907623926,,,,,,,,MEP
chr10:10387227-10387511,,,4.82102305270683,,,,,,,,,,,,,,,,,,,,,,CLP
chr10:103986595-103987221,,,,,4.026410376572743,,,,,,,,,,,,,,,,,,,,Mono
chr10:104045008-104045278,,,,,4.411168274405793,4.254925208417943,4.420216403383191,,,,,,,,,,,4.141462802430362,,,,,,,Ery
chr10:104212451-104213078,,,,,,,,,5.161780778092374,,,,,,4.410050398674292,4.0545314148681815,,,,,,,4.94692155651658,,Mono
chr10:104213754-104214053,4.369572124974976,,5.52432881167557,5.522878745280337,4.396855627379819,,,,,,,,,,,,,,,,,,,,Mono
chr10:104359268-104360161,,,,,,,,,,,,,,,,,,,,,,,,,MEP
chr10:104520352-104520646,,,,,,4.139661993429006,4.221125527997262,,,,4.009661145212399,,,,,4.023191662661933,,4.234331445240986,,,,,,,MEP
chr10:104522799-104523375,,,,,,,,,,,,,,,,,,,,,,,,,MEP
chr10:104526550-104526970,,,,,,,,,,,,,,,,,,,,,,,,,MEP
chr10:104533093-104533499,,,,,,,,5.0181813928293355,,,,,,,,4.632644078973982,,,4.130768280269024,4.440093374963888,,,,,Mono
chr10:104539837-104540037,,,,,,5.665546248849069,5.4034029043735385,,,,,,,,,,,5.480172006224282,,,,,,,MEP
chr10:104540853-104541479,,,,,,,,,5.649751981665838,,,5.435333935747911,,,,,,,,,,,5.978810700930063,,MEP
chr10:104575499-104576345,,,,,,,,,,,,,,,,,,,,,,,,,Mono
chr10:104707853-104708479,,,,,,,,,,,,,,,,,,,,,,,,,Ery
chr10:104718944-104719516,,,4.006123085058789,,,5.657577319177793,6.055517327849832,,,,,,,,,4.080398976215889,,,,,,4.059981844992337,,,MEP
chr10:104722984-104723734,,,,,,,,,,,,,,,,,,,,,,,,,Ery
chr10:104723974-104724174,,,,,,,,4.081445469449727,,,,,,,,,,,,,,4.335358024443875,,4.308918507877031,Ery
chr10:104748609-104749251,,,,,,,,,,,,,,,,,,,,,,,,,MEP
chr10:104800238-104800438,,,,,,,,,,,,,,,,,,,,4.9746941347352305,,,,,Ery
chr10:104885032-104886132,,,,,,,,,,,,,,,,,,,,,,,,,HSC
chr10:104959283-104959603,,4.082494490447453,,,,,,,,,,,,,,,,,,,,,,,Mono
chr10:104985554-104986142,,,,,,,,,,,,,,,,,,,,,,4.2580609222708015,,,Mono
chr10:10502435-10502821,,,,4.226213555018807,,,,,,,,,,,4.0245681914907365,4.0545314148681815,,,,,,,,,Mono
chr10:105142617-105142923,,,,,,,,,5.129011186239425,,6.102372908709557,,,,,,,,,,,4.87942606879415,,,Bcell
chr10:105225202-105225402,,,,,,,,,,,4.298432014944073,4.732828271596986,,,,,,,4.135488918941608,4.309803919971486,,,,,Mono
chr10:105310026-105310307,,,4.0343280287798935,,,,,,,,,,,,,,,,,,,,,,CLP
chr10:105311325-105312090,,,,,,,,,,,,,,,,,,,,,,,,,Mono
chr10:105378058-105379035,,,,,,,,,,,,,,,,,,,,,,,,,Ery
chr10:105398666-105399145,,,,,,,,,,,,,,,,,,,,,,,,,Ery
chr10:105507767-105508206,,,,4.467245621007502,4.507239610973162,,,,,,,,,,,,,,,,,,,,CD4Tcell
chr10:105563731-105564100,4.876148359032914,,6.273272790973428,,6.0154726866562065,,,4.110698297493689,,,,,,,,5.060480747381382,,,,,,,,,CD4Tcell
chr10:1055778-1056401,,,4.056505484093897,,,,,,,,,,,,4.230622673923862,,,,,,4.126679398184601,4.452225294612178,,,NKcell
chr10:105588467-105588863,,,,,,,,,,,,,,,,,,,,,,,,,CLP
chr10:10586438-10587334,,,,,,,,,,,,,,,,,,,,,,,,,MPP
chr10:105930265-105931107,,,,,,,,,,,,,,,,,,,,,,4.024108863598207,,,CD4Tcell
chr10:106012866-106013241,,,,,,,,,,,,4.4156687756324695,,,4.303643611266668,,,,,,,,,,Ery
chr10:106063511-106063928,,,,,,,,,,,,,,,,4.112945621949042,,,,,,,,,NKcell
chr10:106068119-106068745,,,,,,,,,,,,,,,,,,,,,,,,,CD4Tcell
chr10:106083714-106084474,,,,,,4.020907099361674,,,,,,,,,4.2890368810047255,,,4.459670525209126,,,,,,,Mono
chr10:106092233-106092553,,,,,,4.543633966870957,4.1444808443321985,,,,,,,,,,4.218244625347531,4.46344155742847,,,,4.054039296422431,,,Ery
chr10:106092966-106093369,,,,,,4.357535479757878,4.295849483160201,,,,,,,,,,,4.429457060118104,,,,,,,CD8Tcell
chr10:106107097-106107300,,,,,,,,,,,,,,,,,,,,,,,,,Ery
chr10:106177093-106178044,,,,,,,,,,,,,,,,,,,,,,,,,CMP
chr10:106201185-106201879,,,4.9586073148417755,,,,,,,,,,,,,,,,,,,,,,CMP
chr10:106216334-106217114,,,,,,,,,,,,,,,,,,,,,,,,,CLP
chr10:106233040-106233778,,,4.134896025358872,,,4.422508200162776,4.580044251510242,,,,,,,,,,,4.627087997029894,,4.455931955649723,,,,,HSC
chr10:106280735-106281194,,,4.126098402135538,,,,,,,,,,,,,,,4.004803708402822,,,,,,,MEP
chr10:10631350-10632235,,,,,4.023191662661933,,,,,,,4.315154638355588,4.074687908500351,,,,,,4.0195421077239,,,,,,HSC
chr10:106346917-106347309,,,,,,,,4.920818753952375,4.235077015350112,,,4.2441251443275085,5.230622673923863,4.434152181326482,,,,,,,,,,,CD4Tcell
chr10:106372207-106372899,,,,,,4.134896025358872,,,,,,,,,,,,,,,,,,,MEP
chr10:106410636-106411120,,,,,,,,,,,,,4.268411234813262,,,,,,,,4.1938200260161125,,,4.9586073148417755,MEP
chr10:106658661-106658861,,,,,,,,,,,,,,4.00436480540245,,,,,,,,,,,Ery
chr10:106695373-106695786,,,,,,,,,,5.044793462458059,,,,,,,,,,,,,,,CD4Tcell
chr10:106702377-106702751,,,,,,4.153044674980176,,,,,,,,,,,,,,,,,,,CMP
chr10:106740119-106740592,,,,,,,,,,4.021819483062586,,,,,,,,,,,,,,,CD4Tcell
chr10:1070501-1070927,,,,,,,,,,,,,,,,,,4.9746941347352305,,,,,,,MEP
chr10:10741245-10741916,,,,,,,,,,,,,,,,,,,,,,,,,GMP
chr10:107543870-107544463,,,,,,,,,,,,,,,,,,,,,,4.3419886033428865,,,HSC
chr10:107617567-107618709,,,,,,,,,,,,,,,,,,,,,,,,,HSC
chr10:107677254-107677639,,,,4.07727454200674,,,,,,,,,,,,,,,,,,,,,HSC
chr10:107677814-107678379,,,,,,4.4685210829577455,,,,,,,,,,,,4.388276691992658,,,,,,,HSC
chr10:10773776-10774454,,,,,,,,,,4.7594507517174005,4.97061622231479,,,,,,,,,,,,,,GMP
chr10:108038457-108038892,,,,,,,,,,,,,,,,,,4.485452247339714,,,,,,,CLP
chr10:108616935-108617366,,,,,,,,,,,,,,,,,4.425968732272281,,,,,4.777283528852417,,,LMPP
chr10:10863864-10864359,,,,,,,,,,,4.1605219526258015,,,,,,,,,,,,,,LMPP
chr10:108677596-108678149,,,,,,,,,,,,,,,,,,,5.082494490447453,,,,,,CLP
chr10:108757457-108757915,,,,,,,,,4.489454989793388,,,4.037630664329979,,,,,,,,,,,4.404503778174426,,Mono
chr10:108901219-108901726,,,4.609064892896622,,4.3419886033428865,,,,,,,,,,,,,,4.145086977692143,,,,,,CLP
chr10:108991448-108992322,,,,,,,,,,,,,,,,,,,,,,,,,LMPP
chr10:109175263-109175662,,,,,,,,,,,,4.559090917934783,,,,4.196542884351587,,,,,,4.332547047110047,,,Bcell
chr10:109178129-109178513,,,4.370590400897282,,,,,4.259637310505756,,,,,,,,,,,,,,,,,Bcell
chr10:109194599-109194970,,,,,,,,,,,,,,,,,,,,,,,,,Bcell
chr10:109210862-109211145,,,,,,,,,,,,,4.100726812682397,,,,,,,,,,,,Bcell
chr10:109236912-109237556,,4.173277479831008,,4.002176919254275,,,,,,,,,,,4.823908740944318,,,,,,,,,,Bcell
chr10:109313333-109313642,,,,,,,,,,,,,,,,,,,,,,,,,CLP
chr10:109314205-109314590,,,,,,,,,,,,,,,,,,,,,,,,,CLP
chr10:109375774-109377075,,,,,,,,,,,,,,,,,,,,,,,,,Mono
chr10:109417449-109417996,,,,,,,,,,,,,,,,,,,,,,,,,CMP
chr10:109447472-109447866,,,4.056505484093897,,,,,,,,,,,,,,,,,,,,,,Mono
chr10:109449075-109449627,,,,,,,,,,,,,4.4749551929631535,,,4.245651664288982,,,,4.401209493236885,,,,,Mono
chr10:109607408-109607732,7.022276394711152,,4.769551078621727,5.441291429466834,4.560667306169737,,,,,,,4.0963674839157616,,,,5.169411331314857,,,,,,,,,Bcell
chr10:109855042-109855426,4.0851281824599495,,4.087246696328677,,,,,,,,,,,,,4.4685210829577455,,6.9746941347352305,,,,,,,MEP
chr10:109962925-109963404,,,,,,,,,,,,,,,,,,,,,,,,,CMP
chr10:110010318-110011423,,,,,,,,,,,,,,,,,,,4.099086932262331,,,,,,HSC
chr10:110118531-110119052,4.430626090384954,,,,,,,,,,,,,,,,,,,,,,,,HSC
chr10:110122010-110122462,4.153044674980176,,,,,,,,,,5.761953896871206,5.946921556516581,,,,4.632644078973982,,4.062983892535186,4.113509274827518,,,,,,MEP
chr10:110122581-110123283,4.03810452633215,4.236572006437063,,,,,,,4.339134521996131,,,,,,,5.525783735923746,,,,4.218963061378868,,,,,HSC
chr10:110159080-110159573,,,,,,,,,,,,,,,,,,,,,,,,,CMP
chr10:110170889-110171631,,,4.609064892896622,,,,,,,,,,,,,,,,4.326979092871103,,,4.09312646527793,,,MEP
chr10:110229547-110230195,,,,,,,,,,,,,,,,,,,,4.221125527997262,,,,,MPP
chr10:110247399-110247604,,,,,,,,,,,,,,,,,,,,,,,,,GMP
chr10:110259942-110260930,,,,,,,,,,,,,,,,,,,,,,,,,CMP
chr10:110342039-110342592,,,,,,,,4.8181564120552265,,,,,,,4.716698771296451,,,,,4.148130399270234,,,,,CMP
chr10:11038689-11039426,,,,,,,,,,,,,,,,,,,,,,,,,MEP
chr10:110391137-110391789,,,,,,,,,,,,,,,,,,,,,,,,,CLP
chr10:11051349-11052018,,,4.174573882232177,,,4.563837352959244,4.414539270491499,4.031984286006359,,,,,,,,,,4.774690718274137,,,,,,,CD4Tcell
chr10:11054441-11054641,,,,,,,,,4.017276612331456,,4.109020403010312,4.111259039317107,,,,,,,,,,4.335358024443875,,,CLP
chr10:110574577-110574922,,,4.384049948343598,4.835647144215564,,,,,,,5.070070439915412,4.317854923626168,,,,6.8996294548824375,,,,,,,,,Bcell
chr10:110609904-110610580,,,,,,,,4.066006836168758,,,4.413412695328245,,,4.069560405233299,,,,,,,4.142064735280572,,,,CLP
chr10:110611991-110612425,,,,,,,,,,4.559090917934783,,,,,,,,,,,,,,,Bcell
chr10:110654123-110654925,,4.943095148663527,,,,,,,,,,,,,4.121478204498794,,,,,,,,,,Bcell
chr10:110784755-110785480,,,,,,,,,,,,,,,,,,,,,,,,,CMP
chr10:1108362-1108664,,,,,,,,,,,,,,,,,,,,,,,,,CLP
chr10:1108962-1109870,,,,,,,,4.056011124926228,,,,,,,,,,,,,,,,,CD8Tcell
chr10:11158168-11158892,,,,,,,,,,,,,,,,,,,,,,,,,MEP
chr10:111652712-111653613,,,,,,,,,,,,,,,,,,,,,,,,,MEP
chr10:111658236-111658795,,,,,,,,,,,,,,,,,,,,,,,4.1067932469401525,,Ery
chr10:111705294-111705954,,,4.1611509092627434,,,,,,,,4.709965388637482,,4.430626090384954,,,5.001740661576301,,,,,,4.402304814074489,,4.1518108830086025,NKcell
chr10:111769838-111770343,,,,,,,,,,,,,,,,,,,,,,,,,CD4Tcell
chr10:111795322-111795702,,,4.403402904373539,5.236572006437063,5.127843727251707,,,,,,,,,,,4.025949097207123,,,,,,6.669586226650809,,,Bcell
chr10:111819611-111820185,,,,,,,,,,,,,,,,4.452225294612178,,,,,,,,,CLP
chr10:11183040-11184123,,,,,,4.274088367704952,,,,,,,,,,,,,,,,,,,MPP
chr10:111845486-111846725,,,,,,,,,,,,,,,,,,,,,,,,,NKcell
chr10:111870095-111870526,,,,,,4.081445469449727,4.157390760389438,,,,,,,4.195179321278838,,,,4.037157318798759,,,,,,,NKcell
chr10:111908817-111909335,,,,,,,,,,,,,,,,,,5.29073003902417,,,,,,,Ery
chr10:111909826-111910156,4.367542707815276,,4.06398920428479,,4.0762380391713,,,,,,,4.231361898752385,,,,,,,,,,,,,Ery
chr10:111911289-111911536,,4.051098239029786,4.1611509092627434,,,,,,,,,,,,,4.086186147616283,,,,,,,,,Ery
chr10:111913183-111913634,,,,,,,,,,,,,,,,,,,,,,,,,CLP
chr10:11192072-11192780,,,,4.826813731587727,4.30715308072277,,,,,,5.077793722560983,,,,,,,,,,,,,,CD4Tcell
chr10:111981060-111981328,,,,,,5.205511953340831,5.504455662453552,,,,,,,,,,,5.581698708680254,,,,,,,Ery
chr10:11198438-11198867,,,,,,,,,,,,,,,,,,,,,4.22548303427145,,,,NKcell
chr10:112018257-112018742,4.1029229967905785,,,,,,,,,,,4.102372908709558,,,4.040481623027002,,,,,,,,,,Ery
chr10:112025523-112025925,,,,,,,,,,,,,,,,,,,,,,,,,Ery
chr10:112084530-112085184,,,,,4.069560405233299,,,,,,,,,,4.103473782510445,,,,,,4.229884705212898,,,,Bcell
chr10:112113063-112113630,,,,,,,,,,,,,4.148130399270234,,,,,4.052076380168272,,,,,,,CD8Tcell
chr10:112114818-112115315,,,,4.099086932262331,,,,,,,,,,,,,,,,,,,,,Bcell
chr10:112115751-112117000,,,,,,,,,,,,,,,,,,,,,,,,,Bcell
chr10:112117272-112117484,,,,,,,,4.0726296369609765,,,,,,,,,,,,,,,,,CD8Tcell
chr10:112197381-112197981,,,,,4.0101054362812265,,,,,4.036684488613888,,,,,,,,,,,,,,,CLP
chr10:112201310-112201936,,,,,,,,,,,,,,,,4.5228787452803365,,,,,,,,,NKcell
chr10:112208373-112208854,,,,,,,,,,,,,,,,,,,,,,,,4.245651664288982,NKcell
chr10:112243338-112244004,,,,,,,,,,,,,,,,,,,,,,5.508638306165726,,,MEP
chr10:112252020-112252574,,,4.126098402135538,,,,,,4.838631997765026,,4.059981844992337,4.910094888560601,,,,,,,,,,,4.987162775294828,4.5003129173815966,Bcell
chr10:112439131-112439839,,,,,,,4.3872161432802645,4.158640529545145,,,,,,,4.257274868695302,,,,,,,,,,LMPP
chr10:11246180-11246952,,,,,,,,,,,,,,,,,4.126679398184601,,,,,,,,NKcell
chr10:112483282-112483642,4.035740369803151,4.427128397799519,4.47755576649368,,,,,,,,,,,,,4.089375595110798,,,,,,,,,Bcell
chr10:112510660-112511182,,,,,,,,,,,,,,,,,,,,,,,,,CD4Tcell
chr10:112539399-112539622,,,4.563837352959244,4.281498311132726,,,,,,,,,,,,,,,,,,,,,CD8Tcell
chr10:112543189-112543851,,,4.806875401645538,,,,,,,,,,,,,4.037157318798759,,,,,,,4.112382699664264,,CD4Tcell
chr10:11254721-11254935,,,,,,4.020907099361674,4.1444808443321985,,,,,,,,,,,4.1605219526258015,,,,,,,CLP
chr10:112601558-112601990,,,,,,,,,,,,,,,,,,,,,,,,,Bcell
chr10:112609724-112610364,4.2083093509798815,,,,,,,,,,,,4.614393726401689,,,,,,,,,,,,NKcell
chr10:112622061-112622429,,,4.335358024443875,,,,4.018181392829336,,,,,,,,,,,,,,,,,,Mono
chr10:112628803-112629048,,,,,,,,,,,,,4.142064735280572,,,,,,,,,,,,CD8Tcell
chr10:11273218-11273742,,4.120904120499928,,,,,,,,,,,,,,,,,,,,,,,MEP
chr10:11278095-11278584,,,,,,,,,,,,4.005243055412373,,,,,,,,,,,,,CD4Tcell
chr10:11279398-11279995,,,,,,,,,,,,,,,,,,,,,,,,,NKcell
chr10:112869221-112869725,,,,,,,,,,,,,,,,,,,,,,,,,HSC
chr10:112873761-112874819,,,,,,,,,,,,4.111259039317107,,,,,,,,,,,,,MPP
chr10:112875420-112876070,,,,,,,,,,,,,,,,,,,,,,,,,MEP
chr10:112886803-112887716,,,,,,4.82102305270683,4.45717457304082,,,,,,,,,,,4.709965388637482,,,,,,,MEP
chr10:112905604-112906399,,,,,,,,,,,,,,,,,,,,,,,4.0851281824599495,,HSC
chr10:11292278-11292702,,4.001304841688344,4.006123085058789,4.216096420727265,,,,,,,,,,,,,,,4.099086932262331,,,,,,NKcell
chr10:113144135-113144723,,,,4.1180450286604,,,,,,,,,,,,,,,,,,,,,HSC
chr10:11372819-11373277,4.542118103266008,,,,,4.042392712939905,,,,,4.2034256667895695,,,,,,,,,,,,,,MEP
chr10:113958891-113959560,,,,,,,,,,,,,,,,,,,,,,4.153662887870195,,,MEP
chr10:113963106-113963515,,,,,,,,,,,,,,4.088842391260023,,,,,,,,,,,CMP
chr10:113993328-113993576,4.285670240254767,,4.169411331314857,4.5346171485515825,4.906578314837764,4.357535479757878,,,,,,,,,,4.82102305270683,,,,,,9.158640529545146,4.790484985457369,,Bcell
chr10:114123687-114124115,,,,,,,,,,,,,,,,,,,4.866461091629782,,4.8297382846050425,5.4034029043735385,,,CD8Tcell
chr10:114128981-114129745,,4.0731432910503065,,,,,,,,,,,,,,,,,,,,,,,CD8Tcell
chr10:114143139-114143452,,,,4.092588639225414,,,,,,,,,,,,,,,,4.142064735280572,,,,,Ery
chr10:114160904-114161177,,,,,,,,,,,,,,,,,,,,,,,,,Ery
chr10:114172427-114173045,,,,,,,,4.437707135543525,,,,,,,,4.2604276555499085,,4.718966632752274,,,,,4.721246399047171,,MEP
chr10:114211323-114211690,,,,,,,,,4.787812395596042,,,6.705533773838407,,,,4.169411331314857,4.442492798094341,,,,,4.30715308072277,4.896196279044043,,MEP
chr10:114257273-114257835,,,,,,5.077793722560983,4.88941028970075,,,,,,,,,,,4.686132779630847,,,,,,,MEP
chr10:114437290-114437933,,,,,,,,4.169411331314857,,,,,,,,,,,,,4.747146969020106,,4.063486257521107,,MEP
chr10:114447424-114447886,,,,6.127843727251707,,,,,,,,,,,,,,,,,,,,,Ery
chr10:11446839-11447320,,,,,,,,,,,,,,,,,,,,,,,,,CLP
chr10:11450004-11450304,,,4.0,,,,,,,,,,,,,4.211831628858833,,,4.08460016478773,,,,,,CD8Tcell
chr10:114612003-114612551,,,,,,,,,,,4.249491605148654,,,,,,,,,,,,,,Mono
chr10:114640604-114641044,,,4.059981844992337,,,,4.041914151478915,,,,,,,,,,,,,,,,,,Mono
chr10:114766821-114767949,,,,,,,,,,,,,,,,,,,,,,,,,CD8Tcell
